rank,name,position,team,comp,attempt,pass_yds,pass_td,int,car,rush_yds,rush_td,receptions,rec_yds,rec_td,tar,pct_rost,pts_tot,pts_avg
212,Samaje Perine,RB,Cin,0,0,0,0,0,64,275,2,22,155,1,28,2,85.8,5.7
213,Dontrell Hilliard,RB,Ten,0,0,0,0,0,38,171,1,29,197,1,37,1.6,81.5,5.4
214,Albert Okwuegbunam,TE,Den,0,0,0,0,0,0,0,0,46,469,5,61,11.7,125,7.8
215,Carson Wentz,QB,Wsh,337,525,3749,24,10,55,217,2,0,0,0,0,9.7,295.8,18.5
216,KJ Hamler,WR,Den,0,0,0,0,0,0,0,0,46,631,4,78,2.6,126.5,7.9
217,Nick Westbrook-Ikhine,WR,Ten,0,0,0,0,0,0,0,0,52,659,4,84,2.2,137.2,8.6
218,George Pickens,WR,Pit,0,0,0,0,0,0,0,0,53,681,3,88,25.4,132.8,8.3
219,Zach Wilson,QB,NYJ,329,530,3594,21,14,41,212,3,0,0,0,0,9.7,248,16.5
220,Ryan Tannehill,QB,Ten,334,509,3615,22,14,52,246,4,0,0,0,0,10,298.9,18.7
221,Dolphins D/ST,D/ST,Mia,0,0,0,0,0,0,0,0,0,0,0,0,20.7,144.2,8.5
222,Patriots D/ST,D/ST,NE,0,0,0,0,0,0,0,0,0,0,0,0,24.2,143.8,8.5
223,Cade York,K,Cle,0,0,0,0,0,0,0,0,0,0,0,0,10.3,128.1,7.5
224,Robbie Gould,K,SF,0,0,0,0,0,0,0,0,0,0,0,0,10.7,127.8,7.5
225,Velus Jones Jr.,WR,Chi,0,0,0,0,0,4,25,0,50,610,3,80,2.3,133.3,8.3
226,Odell Beckham Jr.,WR,FA,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0
227,Sterling Shepard,WR,NYG,0,0,0,0,0,0,0,0,35,356,2,52,1.3,81.7,9.1
228,Randall Cobb,WR,GB,0,0,0,0,0,2,12,0,40,460,4,58,3.4,115.2,8.2
229,Corey Davis,WR,NYJ,0,0,0,0,0,0,0,0,45,577,3,76,4.1,115.9,7.7
230,K.J. Osborn,WR,Min,0,0,0,0,0,0,0,0,45,565,4,74,2.8,123.3,7.7
231,A.J. Green,WR,Ari,0,0,0,0,0,0,0,0,39,545,4,70,5.9,110,7.3
232,Chris Conley,WR,Hou,0,0,0,0,0,0,0,0,43,580,3,71,0.7,110.9,6.9
233,Devin Duvernay,WR,Bal,0,0,0,0,0,10,66,0,40,445,3,61,1.7,114.8,7.2
234,Parris Campbell,WR,Ind,0,0,0,0,0,0,0,0,36,459,2,59,1.6,92.9,6.6
235,Matt Breida,RB,NYG,0,0,0,0,0,63,298,1,14,98,1,17,1.4,68.2,4.5
236,Ty Montgomery,RB,NE,0,0,0,0,0,22,94,1,24,191,1,33,0.5,66,4.4
237,Boston Scott,RB,Phi,0,0,0,0,0,68,295,3,7,55,0,10,1.3,65.1,4.3
238,Chris Evans,RB,Cin,0,0,0,0,0,32,138,1,17,129,1,23,1.2,58.9,3.9
239,Ke'Shawn Vaughn,RB,TB,0,0,0,0,0,68,289,3,5,33,0,6,1.2,53.3,3.6
240,DeeJay Dallas,RB,Sea,0,0,0,0,0,19,79,1,15,99,0,20,0.7,42.3,3.3
241,Mike Davis,RB,Bal,0,0,0,0,0,51,201,2,8,46,0,10,1.1,43.6,2.9
242,Eno Benjamin,RB,Ari,0,0,0,0,0,45,192,1,6,45,0,8,0.9,40.6,2.7
243,Jameis Winston,QB,NO,305,480,3480,23,13,68,322,2,0,0,0,0,13.6,275.8,18.4
244,Mac Jones,QB,NE,350,537,3783,25,13,45,149,0,0,0,0,0,13.5,287.6,18
245,Matt Ryan,QB,Ind,340,521,3775,23,11,38,114,2,0,0,0,0,13.1,279,17.4
246,Gerald Everett,TE,LAC,0,0,0,0,0,0,0,0,50,510,4,72,6.9,130.2,8.1
247,Logan Thomas,TE,Wsh,0,0,0,0,0,0,0,0,36,384,4,55,11.3,96.9,8.1
248,Robert Tonyan,TE,GB,0,0,0,0,0,0,0,0,47,493,4,64,9.8,126.5,8.4
249,Mo Alie-Cox,TE,Ind,0,0,0,0,0,0,0,0,35,437,4,54,2.2,101.9,6.4
250,Benny Snell Jr.,RB,Pit,0,0,0,0,0,50,195,1,4,30,0,6,0.9,34.6,2.3
251,Dee Eskridge,WR,Sea,0,0,0,0,0,71,294,3,11,82,0,14,3.5,103.5,6.5
252,Donovan Peoples-Jones,WR,Cle,0,0,0,0,0,101,481,3,13,97,1,17,8.1,99.8,6.2
253,Bengals D/ST,D/ST,Cin,0,0,0,0,0,10,58,1,38,375,3,53,2.3,154,9.1
254,Eagles D/ST,D/ST,Phi,0,0,0,0,0,0,0,0,49,659,4,80,8.5,146.9,8.6
255,Ryan Succop,K,TB,0,0,0,0,0,13,93,1,49,525,3,66,3.4,125.1,7.4
256,Dustin Hopkins,K,LAC,0,0,0,0,0,61,241,2,13,91,0,17,5.2,125.3,7.4
257,Brevin Jordan,TE,Hou,0,0,0,0,0,69,293,2,9,64,0,11,2.3,110.9,6.9
258,C.J. Uzomah,TE,NYJ,0,0,0,0,0,53,220,1,12,88,0,15,1.7,79.5,5
259,Tyler Conklin,TE,NYJ,0,0,0,0,0,59,253,2,7,50,0,9,2.3,66.7,4.2
260,Braxton Berrios,WR,NYJ,0,0,0,0,0,25,116,1,4,26,0,5,1.5,102.6,6.4
261,Terrace Marshall Jr.,WR,Car,0,0,0,0,0,81,354,2,24,190,1,33,2,95.3,6
262,Bryan Edwards,WR,Atl,0,0,0,0,0,64,275,2,22,155,1,28,2,93.9,5.9
263,Sammy Watkins,WR,GB,0,0,0,0,0,38,171,1,29,197,1,37,1.6,81.4,5.8
264,Justin Jackson,RB,Det,0,0,0,0,0,0,0,0,46,469,5,61,11.7,37.7,2.5
265,Jeff Wilson Jr.,RB,SF,337,525,3749,24,10,55,217,2,0,0,0,0,9.7,33.4,2.2
266,Jared Goff,QB,Det,0,0,0,0,0,0,0,0,46,631,4,78,2.6,284.9,17.8
267,Baker Mayfield,QB,Car,0,0,0,0,0,0,0,0,52,659,4,84,2.2,221.4,14.8
268,Davis Mills,QB,Hou,0,0,0,0,0,0,0,0,53,681,3,88,25.4,242.3,16.2
269,Marcus Mariota,QB,Atl,329,530,3594,21,14,41,212,3,0,0,0,0,9.7,152.5,16.9
270,Kenny Pickett,QB,Pit,334,509,3615,22,14,52,246,4,0,0,0,0,10,122.9,13.7
271,Romeo Doubs,WR,GB,0,0,0,0,0,0,0,0,0,0,0,0,20.7,91.7,5.7
272,Zay Jones,WR,Jax,0,0,0,0,0,0,0,0,0,0,0,0,24.2,87.4,5.5
273,James Washington,WR,Dal,0,0,0,0,0,0,0,0,0,0,0,0,10.3,63.6,5.3
274,Byron Pringle,WR,Chi,0,0,0,0,0,0,0,0,0,0,0,0,10.7,86.9,5.4
275,Jauan Jennings,WR,SF,0,0,0,0,0,4,25,0,50,610,3,80,2.3,82.2,5.1
276,Giovani Bernard,RB,TB,0,0,0,0,0,0,0,0,0,0,0,0,15.4,31.6,2.1
277,Dwayne Washington,RB,NO,0,0,0,0,0,0,0,0,35,356,2,52,1.3,29,2.1
278,Rico Dowdle,RB,Dal,0,0,0,0,0,2,12,0,40,460,4,58,3.4,27.6,2
279,Kene Nwangwu,RB,Min,0,0,0,0,0,0,0,0,45,577,3,76,4.1,26.5,1.8
280,Snoop Conner,RB,Jax,0,0,0,0,0,0,0,0,45,565,4,74,2.8,26.5,1.8
