"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
70,"Lamar Jackson","QB","Bal",308,477,3420,23,14,160,924,4,0,0,0,0,98.9,367,22.9,16,4,"QB1",-1.35,-0.950000000000003,-0.0556701030927836,-0.0398322851153041,9.44329896907217,9.60167714884696,-0.135714285714286,8.64285714285714,9.22927775359209
71,"Dalton Schultz","TE","Dal",0,0,0,0,0,0,0,0,76,711,5,101,95.1,188.8,11.8,16,6,"te1",0.475000000000001,0.600000000000001,0.0419426048565123,0.0535714285714287,5.20971302428256,5.26785714285714,0.0923076923076925,5.46153846153846,5.31303620955939
72,"JuJu Smith-Schuster","WR","KC",0,0,0,0,0,0,0,0,75,837,7,113,90.3,198.1,12.4,16,35,"wr3",-0.341666666666667,-0.25,-0.026814911706998,-0.0197628458498024,9.73185088293002,9.80237154150198,-0.125,8.75,9.42807414147733
73,"Tyler Lockett","WR","Sea",0,0,0,0,0,2,11,0,79,947,4,114,89,200.6,12.5,16,36,"wr3",-0.241666666666667,-0.15,-0.0189666448659255,-0.0118577075098814,9.81033355134075,9.88142292490119,-0.0750000000000002,9.25,9.64725215874731
74,"DeVonta Smith","WR","Phi",0,0,0,0,0,0,0,0,65,872,7,106,86.6,188.9,11.8,16,37,"wr4",-0.0499999999999989,0.199999999999999,-0.00421940928270033,0.0172413793103448,0.9957805907173,1.01724137931034,0.043478260869565,1.04347826086956,1.01883341029907
75,"Kadarius Toney","WR","NYG",0,0,0,0,0,4,23,0,75,879,4,112,80.8,191.4,12.8,15,38,"wr4",0.950000000000001,1.2,0.0801687763713081,0.103448275862069,1.08016877637131,1.10344827586207,0.260869565217391,1.26086956521739,1.14816220581692
76,"Kareem Hunt","RB","Cle",0,0,0,0,0,123,548,4,47,405,2,61,88.1,189.9,12.7,15,28,"rb3",0.516666666666666,0.549999999999999,0.042407660738714,0.0452674897119341,8.33926128590971,8.36213991769547,0.161764705882353,9.29411764705882,8.66517295022134
77,"Clyde Edwards-Helaire","RB","KC",0,0,0,0,0,146,660,5,37,284,2,50,87.6,179.5,12,15,29,"rb3",-0.183333333333334,-0.15,-0.0150478796169631,-0.0123456790123457,7.8796169630643,7.90123456790123,-0.0441176470588237,7.64705882352941,7.80930345149831
78,"Damien Harris","RB","NE",0,0,0,0,0,189,822,10,18,123,1,23,86.7,175.7,11.7,15,30,"rb3",-0.483333333333334,-0.450000000000001,-0.0396716826265391,-0.0370370370370371,7.68262653898769,7.7037037037037,-0.132352941176471,6.94117647058823,7.44250223775987
79,"Kyler Murray","QB","Ari",371,566,4107,25,13,97,492,5,0,0,0,0,95.6,377.5,23.6,16,5,"QB1",-0.649999999999999,-0.25,-0.0268041237113401,-0.010482180293501,9.7319587628866,9.89517819706499,-0.0357142857142857,9.64285714285714,9.75666470093624
80,"Jalen Hurts","QB","Phi",277,449,3298,23,11,132,721,9,0,0,0,0,94.8,351,23.4,15,6,"QB1",-0.850000000000001,-0.450000000000003,-0.0350515463917526,-0.018867924528302,9.64948453608247,9.81132075471698,-0.0642857142857147,9.35714285714285,9.60598271598077
81,"Dak Prescott","QB","Dal",388,595,4392,33,11,52,196,3,0,0,0,0,92.8,388.4,24.3,16,7,"QB1",0.0500000000000007,0.449999999999999,0.00206185567010312,0.0188679245283019,10.020618556701,10.188679245283,0.0642857142857142,10.6428571428571,10.2840516482804
82,"Tom Brady","QB","TB",425,638,4543,34,12,28,42,2,0,0,0,0,94.1,402.9,25.2,16,8,"QB1",0.949999999999999,1.35,0.0391752577319587,0.0566037735849056,10.3917525773196,10.5660377358491,0.192857142857143,11.9285714285714,10.96212058058
83,"Aaron Rodgers","QB","GB",373,565,4156,33,7,36,138,2,0,0,0,0,93.4,385.8,24.1,16,9,"QB1",-0.149999999999999,0.25,-0.00618556701030922,0.010482180293501,9.93814432989691,10.104821802935,0.0357142857142857,10.3571428571429,10.1333696633249
84,"Joe Burrow","QB","Cin",368,552,4201,30,12,50,170,3,0,0,0,0,92.2,360.3,22.5,16,10,"QB1",-1.75,-1.35,-0.0721649484536082,-0.0566037735849057,9.27835051546392,9.43396226415094,-0.192857142857143,8.07142857142857,8.92791378368114
85,"Russell Wilson","QB","Den",342,543,4082,30,10,64,303,2,0,0,0,0,90.2,340.1,21.3,16,11,"QB1",-2.95,-2.55,-0.121649484536082,-0.106918238993711,8.78350515463918,8.93081761006289,-0.364285714285714,6.35714285714286,8.02382187394831
86,"T.J. Hockenson","TE","Det",0,0,0,0,0,0,0,0,68,701,5,100,93.3,171.2,10.7,16,7,"te1",-0.625,-0.5,-0.0551876379690949,-0.0446428571428571,4.72406181015453,4.77678571428571,-0.0769230769230769,4.61538461538462,4.70541071327495
87,"Christian Kirk","WR","Jax",0,0,0,0,0,0,0,0,77,865,4,112,83,192.2,12,16,39,"wr4",0.15,0.399999999999999,0.0126582278481013,0.0344827586206895,1.0126582278481,1.03448275862069,0.0869565217391301,1.08695652173913,1.04469916940264
88,"Garrett Wilson","WR","NYJ",0,0,0,0,0,2,12,0,67,868,5,110,80.8,183.1,11.4,16,40,"wr4",-0.449999999999999,-0.200000000000001,-0.0379746835443037,-0.0172413793103449,0.962025316455696,0.982758620689655,-0.0434782608695654,0.956521739130435,0.967101892091929
89,"Elijah Moore","WR","NYJ",0,0,0,0,0,6,38,0,64,882,5,110,82.4,180.3,11.3,16,41,"wr4",-0.549999999999999,-0.300000000000001,-0.0464135021097046,-0.0258620689655173,0.953586497890295,0.974137931034483,-0.065217391304348,0.934782608695652,0.954169012540143
