"gsis_id","name","position","games","pts_tot","pts_avg","pts_std_tot","pts_std_avg","pts_adj_tot","pts_adj_avg"
"00-0036250","T.Davis","TE",5,5.98,1.196,6.6,1.32,-0.62,-0.124
"00-0036251","Z.Moss","RB",13,96.28,7.40615384615385,66.5,5.11538461538462,29.78,2.29076923076923
"00-0036252","M.Pittman","WR",16,225.58,14.09875,218.5,13.65625,7.08,0.4425
"00-0036255","D.Mims","WR",9,24.1,2.67777777777778,29.6,3.28888888888889,-5.5,-0.611111111111111
"00-0036259","J.Jennings","WR",16,80.64,5.04,82.6,5.1625,-1.96,-0.1225
"00-0036261","B.Aiyuk","WR",17,233.94,13.7611764705882,229.8,13.5176470588235,4.14,0.243529411764706
"00-0036264","J.Love","QB",4,16.9,4.225,13.8,3.45,3.1,0.774999999999999
"00-0036265","A.Dillon","RB",17,213.42,12.5541176470588,167.6,9.85882352941177,45.82,2.69529411764706
"00-0036268","L.Shenault","WR",13,82.48,6.34461538461538,72.7,5.59230769230769,9.78,0.752307692307692
"00-0036271","Q.Watkins","WR",16,85.9,5.36875,86.5,5.40625,-0.600000000000001,-0.0375000000000001
"00-0036275","D.Swift","RB",14,222.02,15.8585714285714,187.7,13.4071428571429,34.32,2.45142857142857
"00-0036277","Q.Cephus","WR",1,3.52,3.52,3.5,3.5,0.02,0.02
"00-0036290","C.Kmet","TE",17,151.64,8.92,147.3,8.66470588235294,4.34,0.255294117647059
"00-0036297","D.Evans","RB",3,14.88,4.96,10.7,3.56666666666667,4.18,1.39333333333333
"00-0036309","D.Mooney","WR",11,100.7,9.15454545454545,101.5,9.22727272727273,-0.800000000000001,-0.0727272727272728
"00-0036322","J.Jefferson","WR",17,375.3,22.0764705882353,366.66,21.5682352941176,8.64,0.508235294117647
"00-0036326","C.Claypool","WR",15,107.69,7.17933333333333,109.64,7.30933333333333,-1.95,-0.13
"00-0036328","A.Gibson","RB",15,206.38,13.7586666666667,165.9,11.06,40.48,2.69866666666667
"00-0036331","D.Duvernay","WR",14,119.8,8.55714285714286,110.1,7.86428571428571,9.7,0.692857142857143
"00-0036332","J.Deguara","TE",9,27.5,3.05555555555556,24.4,2.71111111111111,3.1,0.344444444444444
"00-0036336","A.McFarland","RB",1,8.58,8.58,6.1,6.1,2.48,2.48
"00-0036345","K.Osborn","WR",17,156.56,9.20941176470588,155.6,9.15294117647059,0.959999999999997,0.0564705882352939
"00-0036355","J.Herbert","QB",17,360.69,21.2170588235294,337.06,19.8270588235294,23.63,1.39
"00-0036358","C.Lamb","WR",17,307.46,18.0858823529412,301.6,17.7411764705882,5.85999999999999,0.344705882352941
"00-0036360","C.Edwards-Helaire","RB",10,118.24,11.824,98.3,9.83,19.94,1.994
"00-0036370","J.Kelley","RB",12,79.52,6.62666666666667,64.8,5.4,14.72,1.22666666666667
"00-0036383","E.Benjamin","RB",12,108.94,9.07833333333333,87.6,7.3,21.34,1.77833333333333
"00-0036387","J.Reagor","WR",10,27.82,2.782,26.9,2.69,0.92,0.092
"00-0036389","J.Hurts","QB",15,438.9,29.26,424.14,28.276,14.76,0.983999999999998
"00-0036407","J.Jeudy","WR",15,207.6,13.84,204.2,13.6133333333333,3.4,0.226666666666666
"00-0036410","T.Higgins","WR",14,220.3,15.7357142857143,218.9,15.6357142857143,1.4,0.0999999999999998
