"game_id","gsis_id","name","position","game","pts_gm","pts_gm_std","pts_gm_adj"
"2021_01_DAL_TB","00-0036358","C.Lamb","WR",1,20.5,23.4,-2.9
"2021_01_DAL_TB","00-0036427","T.Johnson","WR",1,-0.66,0,-0.66
"2021_01_DEN_NYG","00-0027981","K.Rudolph","TE",1,1.5,2.8,-1.3
"2021_01_DEN_NYG","00-0031237","T.Bridgewater","QB",1,31.8,24.46,7.34
"2021_01_DEN_NYG","00-0032144","M.Gordon","RB",1,27.88,20.8,7.08
"2021_01_DEN_NYG","00-0032385","S.Shepard","WR",1,25.36,24.3,1.06
"2021_01_DEN_NYG","00-0032813","E.Penny","RB",1,-0.66,0,-0.66
"2021_01_DEN_NYG","00-0032972","D.Booker","RB",1,3.06,2.3,0.76
"2021_01_DEN_NYG","00-0033367","C.Board","WR",1,1.94,1.6,0.34
"2021_01_DEN_NYG","00-0033375","T.Patrick","WR",1,15.26,13.9,1.36
"2021_01_DEN_NYG","00-0033576","E.Saubert","TE",1,1.38,1.7,-0.32
"2021_01_DEN_NYG","00-0033932","K.Golladay","WR",1,10.44,10.4,0.04
"2021_01_DEN_NYG","00-0034348","C.Sutton","WR",1,1.42,2.4,-0.98
"2021_01_DEN_NYG","00-0034844","S.Barkley","RB",1,4.28,3.7,0.58
"2021_01_DEN_NYG","00-0035535","D.Slayton","WR",1,7.88,9.5,-1.62
"2021_01_DEN_NYG","00-0035644","N.Fant","TE",1,12.92,12.2,0.72
"2021_01_DEN_NYG","00-0035710","D.Jones","QB",1,23.46,25.48,-2.02
"2021_01_DEN_NYG","00-0036407","J.Jeudy","WR",1,14.58,13.2,1.38
"2021_01_DEN_NYG","00-0036412","K.Hamler","WR",1,7.46,7.1,0.36
"2021_01_DEN_NYG","00-0036423","A.Okwuegbunam","TE",1,11.62,10.6,1.02
"2021_01_DEN_NYG","00-0036569","G.Brightwell","RB",1,1.94,1.6,0.34
"2021_01_DEN_NYG","00-0036913","K.Toney","WR",1,2.48,1.8,0.68
"2021_01_DEN_NYG","00-0036997","J.Williams","RB",1,8.14,5.1,3.04
