"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
16,"Alvin Kamara","RB","NO",0,0,0,0,0,209,839,7,57,553,4,80,99.7,257.2,18.4,14,10,"rb1",-19.7666666666667,-10.7,-0.0713683957154892,-0.039940276222471,52.0033698399326,53.7633445315416,-0.122565864833906,49.1363115693013,51.6343419802585
17,"Tyreek Hill","WR","Mia",0,0,0,0,0,8,59,0,88,1090,7,130,99.8,250.8,15.7,16,8,"wr1",-9.00833333333333,-7.05000000000001,-0.0346729961189338,-0.0273414776032577,53.0929852134586,53.4962187318208,-0.0753205128205129,50.8573717948718,52.4821919133838
18,"Leonard Fournette","RB","TB",0,0,0,0,0,216,927,9,59,391,2,73,99.5,269,17.9,15,4,"rb1",-7.96666666666664,1.10000000000002,-0.0287639908532915,0.00410600970511393,54.3892165122157,56.2299365434864,0.0126002290950747,56.7056128293242,55.7749219616754
19,"Javonte Williams","RB","Den",0,0,0,0,0,224,974,7,50,358,2,61,98.9,248.2,16.5,15,12,"rb1",-28.7666666666667,-19.7,-0.103863280779877,-0.0735349010824934,50.1836562763269,51.8820455393804,-0.225658648339061,43.3631156930126,48.4762725029066
20,"Mark Andrews","TE","Bal",0,0,0,0,0,0,0,0,81,1008,9,122,99.8,234.8,14.7,16,2,"te1",55.6583333333333,57.8,0.310694515513793,0.326553672316384,6.55347257756896,6.63276836158192,0.553639846743295,7.76819923371647,6.98481339095579
21,"James Conner","RB","Ari",0,0,0,0,0,224,904,11,45,337,1,52,99,245.9,17.6,14,13,"rb2",23.9166666666667,24,0.107740821382987,0.10815682739973,27.6935205345747,27.7039206849932,0.550458715596331,38.7614678899083,31.3863030364921
22,"Aaron Jones","RB","GB",0,0,0,0,0,178,817,5,59,502,3,75,99.4,252.6,18,14,11,"rb1",-24.3666666666666,-15.3,-0.0879768925261764,-0.057110862262038,51.0732940185341,52.8017917133259,-0.175257731958763,46.1855670103093,50.0202175807231
23,"Cam Akers","RB","LAR",0,0,0,0,0,270,1103,8,36,280,2,48,98.2,231,15.4,15,14,"rb2",9.01666666666665,9.10000000000002,0.0406186650649447,0.0410094637223976,26.0154666266236,26.0252365930599,0.208715596330276,30.2178899082569,27.4195310426468
24,"Travis Kelce","TE","KC",0,0,0,0,0,2,7,0,91,1028,7,125,99.8,248.4,15.5,16,1,"te1",69.2583333333333,71.4,0.386612085407266,0.403389830508475,6.93306042703633,7.01694915254237,0.683908045977011,8.41954022988506,7.45651660315459
25,"Keenan Allen","WR","LAC",0,0,0,0,0,0,0,0,93,1028,7,138,99.6,240.6,16,15,9,"wr1",-19.2083333333333,-17.25,-0.0739327068030921,-0.0668993600930775,50.9337011258299,51.3205351948807,-0.184294871794872,44.863782051282,49.0393394573309
26,"Tee Higgins","WR","Cin",0,0,0,0,0,0,0,0,80,1089,8,125,98.8,235.4,14.7,16,10,"wr1",-24.4083333333333,-22.45,-0.0939474612695256,-0.0870661237153384,49.8328896301761,50.2113631956564,-0.239850427350428,41.8082264957265,47.284159773853
27,"DJ Moore","WR","Car",0,0,0,0,0,8,54,0,80,1165,5,134,98.6,224.9,14.1,16,13,"wr2",11.1416666666667,10.1,0.0521227242602628,0.0470204841713221,25.2509453822463,25.1284916201117,0.54891304347826,37.1739130434783,29.1844500152788
28,"Saquon Barkley","RB","NYG",0,0,0,0,0,223,903,6,52,418,2,70,98.8,229.9,16.4,14,15,"rb2",7.91666666666666,8.00000000000003,0.035663338088445,0.03605227579991,25.8915834522111,25.9013068949977,0.183486238532111,29.5871559633028,27.1266821035039
29,"Nick Chubb","RB","Cle",0,0,0,0,0,240,1174,7,26,224,1,35,99.3,226.2,15.1,15,17,"rb2",4.21666666666664,4.30000000000001,0.0189954200765822,0.0193780982424516,25.4748855019146,25.4844524560613,0.0986238532110094,27.4655963302752,26.1416447627504
30,"Mike Evans","WR","TB",0,0,0,0,0,0,0,0,73,1015,8,119,99.3,218,13.6,16,15,"wr2",4.24166666666667,3.19999999999999,0.0198432809637052,0.0148975791433891,24.4762387431289,24.3575418994413,0.17391304347826,28.1739130434782,25.6692312286828
31,"Jaylen Waddle","WR","Mia",0,0,0,0,0,8,48,0,90,962,6,130,99,234.4,14.6,16,11,"wr1",-25.4083333333333,-23.45,-0.0977964525130705,-0.0909443474888502,49.6211951117811,49.9980608881132,-0.250534188034188,41.2206196581196,46.946625219338
32,"Michael Pittman Jr.","WR","Ind",0,0,0,0,0,5,30,0,86,1054,6,129,98.1,228.9,14.3,16,12,"wr1",-30.9083333333333,-28.95,-0.118965904352568,-0.112274578243165,48.4568752606088,48.8248981966259,-0.309294871794872,37.988782051282,45.0901851695056
33,"David Montgomery","RB","Chi",0,0,0,0,0,220,882,7,46,332,2,59,97,222.6,14.8,15,18,"rb2",0.616666666666646,0.700000000000017,0.00277798633531036,0.00315457413249219,25.0694496583828,25.0788643533123,0.01605504587156,25.401376146789,25.183230052828
34,"J.K. Dobbins","RB","Bal",0,0,0,0,0,202,956,9,35,260,1,46,94.9,227.9,15.2,15,16,"rb2",5.91666666666666,6.00000000000003,0.0266536526766273,0.0270392068499325,25.6663413169157,25.6759801712483,0.137614678899083,28.4403669724771,26.5942294868804
35,"Breece Hall","RB","NYJ",0,0,0,0,0,241,1063,6,35,257,1,46,94,216.8,14.5,15,21,"rb2",-5.18333333333334,-5.09999999999997,-0.0233501013589609,-0.0229833258224424,24.416247466026,24.4254168544389,-0.116972477064219,22.0756880733945,23.6391174646198
36,"Ezekiel Elliott","RB","Dal",0,0,0,0,0,209,880,8,41,286,2,56,97.4,221.2,14.7,15,19,"rb2",-0.78333333333336,-0.699999999999989,-0.00352879345296205,-0.00315457413249206,24.9117801636759,24.9211356466877,-0.0160550458715594,24.598623853211,24.8105132211916
37,"A.J. Brown","WR","Phi",0,0,0,0,0,0,0,0,74,1058,7,120,99,216.4,13.5,16,17,"wr2",2.64166666666668,1.59999999999999,0.0123581926630541,0.00744878957169457,24.2965966239133,24.1787709497207,0.0869565217391301,26.0869565217391,24.854108031791
38,"Terry McLaurin","WR","Wsh",0,0,0,0,0,0,0,0,77,1071,6,125,98.1,216.4,13.5,16,18,"wr2",2.64166666666668,1.59999999999999,0.0123581926630541,0.00744878957169457,24.2965966239133,24.1787709497207,0.0869565217391301,26.0869565217391,24.854108031791
